episode,reward,steps,epsilon,event,win_rate,food_eaten,completion_rate,elapsed_sec,q_states
1,-109.01,75,0.99985,caught,0.0,7,0.112903,0.018,75
2,-117.15,76,0.9997,caught,0.0,6,0.096774,0.03,149
3,-148.72,61,0.99955,caught,0.0,3,0.048387,0.04,208
4,-7.36,152,0.9994,caught,0.0,16,0.258065,0.061,358
5,-80.58,109,0.99925,caught,0.0,7,0.112903,0.076,464
6,-26.34,139,0.9991,caught,0.0,13,0.209677,0.094,600
7,-97.28,67,0.99895,caught,0.0,8,0.129032,0.104,663
8,-101.66,85,0.998801,caught,0.0,8,0.129032,0.117,743
9,-156.86,60,0.998651,caught,0.0,2,0.032258,0.125,795
10,-137.85,75,0.998501,caught,0.0,5,0.080645,0.136,865
11,-165.33,63,0.998351,caught,0.0,2,0.032258,0.146,912
12,-143.36,81,0.998201,caught,0.0,5,0.080645,0.159,990
13,-135.92,77,0.998052,caught,0.0,5,0.080645,0.174,1063
14,-158.7,75,0.997902,caught,0.0,2,0.032258,0.186,1131
15,-74.96,118,0.997752,caught,0.0,8,0.129032,0.2,1246
16,-106.73,68,0.997603,caught,0.0,7,0.112903,0.209,1310
17,-142.34,55,0.997453,caught,0.0,3,0.048387,0.217,1350
18,-142.44,57,0.997303,caught,0.0,3,0.048387,0.225,1400
19,-118.14,68,0.997154,caught,0.0,6,0.096774,0.235,1465
20,-129.02,62,0.997004,caught,0.0,5,0.080645,0.247,1520
21,-107.45,79,0.996855,caught,0.0,8,0.129032,0.26,1595
22,-111.39,75,0.996705,caught,0.0,7,0.112903,0.274,1666
23,-155.11,55,0.996556,caught,0.0,2,0.032258,0.284,1705
24,-157.97,61,0.996406,caught,0.0,3,0.048387,0.294,1756
25,-144.51,58,0.996257,caught,0.0,3,0.048387,0.303,1799
26,82.93,130,0.996107,caught,0.0,13,0.209677,0.319,1922
27,-152.73,72,0.995958,caught,0.0,3,0.048387,0.333,1990
28,-141.16,75,0.995808,caught,0.0,5,0.080645,0.347,2056
29,-121.7,72,0.995659,caught,0.0,6,0.096774,0.357,2116
30,-138.72,69,0.99551,caught,0.0,4,0.064516,0.532,2181
31,-137.52,59,0.99536,caught,0.0,4,0.064516,0.541,2236
32,-96.43,78,0.995211,caught,0.0,8,0.129032,0.552,2309
33,-116.29,67,0.995062,caught,0.0,7,0.112903,0.563,2368
34,-151.64,60,0.994913,caught,0.0,3,0.048387,0.573,2419
35,-147.69,59,0.994763,caught,0.0,3,0.048387,0.582,2471
36,-103.27,71,0.994614,caught,0.0,7,0.112903,0.593,2532
37,-76.44,67,0.994465,caught,0.0,10,0.16129,0.603,2591
38,-100.63,75,0.994316,caught,0.0,8,0.129032,0.614,2660
39,-12.51,67,0.994167,caught,0.0,7,0.112903,0.624,2723
40,-46.76,103,0.994018,caught,0.0,10,0.16129,0.637,2822
41,-111.1,82,0.993868,caught,0.0,7,0.112903,0.649,2894
42,-144.75,71,0.993719,caught,0.0,4,0.064516,0.66,2956
43,-149.47,56,0.99357,caught,0.0,3,0.048387,0.671,3000
44,-38.29,138,0.993421,caught,0.0,13,0.209677,0.689,3129
45,-116.68,71,0.993272,caught,0.0,6,0.096774,0.7,3189
46,-128.5,58,0.993123,caught,0.0,5,0.080645,0.709,3242
47,-147.22,76,0.992974,caught,0.0,4,0.064516,0.72,3305
48,-141.91,75,0.992825,caught,0.0,4,0.064516,0.731,3370
49,-153.58,60,0.992676,caught,0.0,3,0.048387,0.74,3420
50,-119.69,59,0.992527,caught,0.0,5,0.080645,0.752,3474
51,-119.13,55,0.992379,caught,0.0,5,0.080645,0.76,3513
52,-2.54,70,0.99223,caught,0.0,7,0.112903,0.771,3575
53,-153.34,54,0.992081,caught,0.0,2,0.032258,0.779,3623
54,-160.53,68,0.991932,caught,0.0,2,0.032258,0.789,3688
55,-110.48,60,0.991783,caught,0.0,6,0.096774,0.797,3736
56,-101.01,67,0.991635,caught,0.0,8,0.129032,0.806,3797
57,-133.02,52,0.991486,caught,0.0,4,0.064516,0.813,3842
58,-130.22,69,0.991337,caught,0.0,5,0.080645,0.824,3906
59,-21.9,63,0.991188,caught,0.0,5,0.080645,0.835,3965
60,-127.79,62,0.99104,caught,0.0,5,0.080645,0.845,4021
61,-102.86,53,0.990891,caught,0.0,7,0.112903,0.853,4066
62,-132.39,69,0.990742,caught,0.0,5,0.080645,0.863,4127
63,-107.3,71,0.990594,caught,0.0,7,0.112903,0.877,4185
64,-117.02,60,0.990445,caught,0.0,6,0.096774,0.886,4239
65,-148.32,76,0.990297,caught,0.0,4,0.064516,0.896,4303
66,-168.92,62,0.990148,caught,0.0,2,0.032258,0.904,4358
67,158.41,137,0.99,caught,0.0,22,0.354839,0.92,4486
68,-158.87,64,0.989851,caught,0.0,2,0.032258,0.931,4535
69,-127.29,70,0.989703,caught,0.0,6,0.096774,0.941,4594
70,-174.97,72,0.989554,caught,0.0,2,0.032258,0.951,4654
71,-134.37,54,0.989406,caught,0.0,4,0.064516,0.962,4684
72,-146.48,72,0.989257,caught,0.0,4,0.064516,0.98,4750
73,-159.36,81,0.989109,caught,0.0,3,0.048387,0.992,4817
74,-117.64,69,0.988961,caught,0.0,6,0.096774,1.002,4876
75,-151.4,58,0.988812,caught,0.0,2,0.032258,1.011,4924
76,-105.11,69,0.988664,caught,0.0,7,0.112903,1.027,4989
77,-130.29,71,0.988516,caught,0.0,5,0.080645,1.047,5045
78,-174.64,58,0.988367,caught,0.0,1,0.016129,1.058,5082
79,-101.85,71,0.988219,caught,0.0,8,0.129032,1.075,5147
80,-128.74,61,0.988071,caught,0.0,5,0.080645,1.087,5188
81,-140.41,74,0.987923,caught,0.0,4,0.064516,1.1,5245
82,-149.4,78,0.987774,caught,0.0,4,0.064516,1.116,5311
83,-55.04,127,0.987626,caught,0.0,11,0.177419,1.134,5430
84,-113.68,74,0.987478,caught,0.0,7,0.112903,1.15,5495
85,-97.47,76,0.98733,caught,0.0,8,0.129032,1.164,5564
86,14.22,138,0.987182,caught,0.0,9,0.145161,1.185,5689
87,-157.71,74,0.987034,caught,0.0,3,0.048387,1.197,5745
88,-82.72,72,0.986886,caught,0.0,10,0.16129,1.209,5813
89,-68.15,129,0.986738,caught,0.0,9,0.145161,1.228,5930
90,-144.76,70,0.98659,caught,0.0,4,0.064516,1.239,5995
91,-129.9,143,0.986442,caught,0.0,5,0.080645,1.262,6129
92,-109.96,75,0.986294,caught,0.0,8,0.129032,1.276,6192
93,-126.24,66,0.986146,caught,0.0,5,0.080645,1.287,6251
94,-160.8,61,0.985998,caught,0.0,2,0.032258,1.298,6294
95,-10.14,136,0.98585,caught,0.0,15,0.241935,1.318,6420
96,-105.06,69,0.985702,caught,0.0,7,0.112903,1.328,6483
97,-155.54,70,0.985554,caught,0.0,3,0.048387,1.341,6542
98,-170.63,69,0.985406,caught,0.0,2,0.032258,1.353,6584
99,-142.96,72,0.985259,caught,0.0,4,0.064516,1.365,6648
100,-123.02,73,0.985111,caught,0.0,6,0.096774,1.376,6709
101,-97.3,68,0.984963,caught,0.0,8,0.129032,1.388,6770
